specie,polygon,demand
Prosopis laevigata,24,389
Yucca filifera,24,118
Agave lechuguilla,25,166
Agave salmiana,25,792
Agave scabra,25,166
Agave striata,25,166
Opuntia cantabrigiensis,25,197
Opuntia engelmani,25,151
Opuntia robusta,25,293
Opuntia streptacanta,25,257
Prosopis laevigata,25,348
Yucca filifera,25,106
Agave lechuguilla,26,157
Agave salmiana,26,745
Agave scabra,26,157
Agave striata,26,157
Opuntia cantabrigiensis,26,185
Opuntia engelmani,26,142
Opuntia robusta,26,275
Opuntia streptacanta,26,242
Prosopis laevigata,26,327
Yucca filifera,26,100
Agave lechuguilla,27,42
Agave salmiana,27,201
Agave scabra,27,42
Agave striata,27,42
Opuntia cantabrigiensis,27,50
Opuntia engelmani,27,38
Opuntia robusta,27,74
Opuntia streptacanta,27,65
Prosopis laevigata,27,88
Yucca filifera,27,27
Agave lechuguilla,28,219
Agave salmiana,28,1041
Agave scabra,28,219
Agave striata,28,219
Opuntia cantabrigiensis,28,259
Opuntia engelmani,28,199
Opuntia robusta,28,385
Opuntia streptacanta,28,338
Prosopis laevigata,28,458
Yucca filifera,28,139
Agave lechuguilla,29,216
Agave salmiana,29,1026
Agave scabra,29,216
Agave striata,29,216
Opuntia cantabrigiensis,29,255
Opuntia engelmani,29,196
Opuntia robusta,29,379
Opuntia streptacanta,29,333
Prosopis laevigata,29,451
Yucca filifera,29,137
Agave lechuguilla,30,223
Agave salmiana,30,1060
Agave scabra,30,223
Agave striata,30,223
Opuntia cantabrigiensis,30,263
Opuntia engelmani,30,203
Opuntia robusta,30,392
Opuntia streptacanta,30,344
Prosopis laevigata,30,466
Yucca filifera,30,142
Agave lechuguilla,31,242
Agave salmiana,31,1151
Agave scabra,31,242
Agave striata,31,242
Opuntia cantabrigiensis,31,286
Opuntia engelmani,31,220
Opuntia robusta,31,425
Opuntia streptacanta,31,374
Prosopis laevigata,31,506
Yucca filifera,31,154
